episode_return,episode_length,loss,epsilon,avg_q
10.000000,10,0.184434,0.022919,5.315369
10.000000,10,6.617995,0.022791,5.270086
10.000000,10,0.066343,0.022663,5.258975
10.000000,10,13.102347,0.022537,5.182153
10.000000,10,1.402120,0.022413,5.133367
10.000000,10,1.617620,0.022289,5.042238
10.000000,10,1.696231,0.022167,5.003109
10.000000,10,0.617631,0.022046,4.980203
10.000000,10,5.732011,0.021926,5.003630
10.000000,10,4.900534,0.021807,4.945053
10.000000,10,2.984754,0.021690,4.872811
10.000000,10,1.051259,0.021573,4.758174
10.000000,10,0.092556,0.021458,4.731689
10.000000,10,4.851170,0.021344,4.709666
10.000000,10,4.936306,0.021231,4.647750
10.000000,10,2.322063,0.021120,4.605628
10.000000,10,6.973536,0.021009,4.592609
10.000000,10,13.963169,0.020899,4.585562
10.000000,10,0.613034,0.020791,4.509089
10.000000,10,0.079904,0.020684,4.523288
10.000000,10,0.040767,0.020577,4.578856
10.000000,10,4.593510,0.020472,4.553285
10.000000,10,3.786346,0.020368,4.462083
10.000000,10,0.554516,0.020265,4.440032
10.000000,10,2.140768,0.020163,4.454895
10.000000,10,0.086259,0.020061,4.466880
10.000000,10,0.064370,0.019961,4.364874
10.000000,10,3.734026,0.019862,4.291108
10.000000,10,4.901255,0.019764,4.248169
10.000000,10,2.421980,0.019667,4.268701
